Change Component Footprint: Designator=J3 Old Footprint=MOLX-52892-1033 New Footprint=MOLX-52746-1071
Change Component Comment : Designator=J3 Old Comment=52892-1033 New Comment=52746-1071
Change Managed Component Library Link : Designator=J3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=ED90F1F9-BF1F-41FB-8C24-080009F071BA New ItemGUID=E4FCCD23-0AB9-496E-866D-6E4EABCAC4AF Old RevisionGUID=2519BB65-6747-4A90-BA56-D26D50506A67 New RevisionGUID=07ED041B-4A3B-4FD0-9D79-6EB0FCEDB3BC
Change component parameters: Designator = "J3" ("J3"); Footprint = "MOLX-52892-1033"; UniqueID = "\ZBNSFRVC" ("\ZBNSFRVC")
Change component parameters (AddParameter): Name = "Circuits (Loaded)"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.molex.com/molex/index.jsp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.molex.com/webdocs/datasheets/pdf/en-us/0527461071_FFC_FPC_CONNECTORS.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.molex.com/pdm_docs/sd/527461071_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Position"; Value = "Bottom"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current (Max per Contact)"; Value = "0.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Durability (mating cycles max)"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Entry Angle"; Value = "90degrees Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mated Height"; Value = "2.00mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Metal"; Value = "Phosphor Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Plating Mating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Plating Termination"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "10-Lead FPC Connector, Pitch 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "52746-1071"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "Rev. H, 05/2009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packing"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "52746-1071"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Locator"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Retention"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch - Mating Interface"; Value = "0.50mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarized to PCB"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stackable"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Max)"; Value = "50V"; VariantName = "[No Variations]"
