Removed Pin From Net: NetName=GND Pin=C23-1
Removed Pin From Net: NetName=5V Pin=C23-2
Removed Pin From Net: NetName=12V Pin=C24-1
Removed Pin From Net: NetName=GND Pin=C24-2
Removed Pin From Net: NetName=12V Pin=C25-1
Removed Pin From Net: NetName=GND Pin=C25-2
Removed Pin From Net: NetName=12V Pin=U4-1
Removed Pin From Net: NetName=3V3 Pin=U4-3
Removed Pin From Net: NetName=GND Pin=U4-4
Removed Pin From Net: NetName=5V Pin=U5-2
Removed Pin From Net: NetName=12V Pin=U5-3
Change Component Footprint: Designator=C23 Old Footprint=CAPC2013X88X50LL20T25 New Footprint=FP-C0805C-DG-MFG
Change Component Footprint: Designator=C24 Old Footprint=FP-0805-L_2_01_0_2-W_1_25-IPC_C New Footprint=FP-FKC-MFG
Change Component Footprint: Designator=C25 Old Footprint=FP-0805-L_2_01_0_2-W_1_25-IPC_C New Footprint=FP-FKC-MFG
Change Component Footprint: Designator=C26 Old Footprint=FP-C0805C-DN-MFG New Footprint=FP-C0805C-DG-MFG
Change Component Footprint: Designator=U5 Old Footprint=SOT-223_N New Footprint=TO-263_N
Change Component Footprint: Designator=U4 Old Footprint=TO-252_N New Footprint=D2PAK_A_L
Change Component Comment : Designator=C24 Old Comment=08055C104KAT2A New Comment=EEE-FK1H100UR
Change Component Comment : Designator=C25 Old Comment=08055C104KAT2A New Comment=EEE-FK1H100UR
Change Component Comment : Designator=C23 Old Comment=C0805C103K5RACTU New Comment=C0805C106K8PACTU
Change Component Comment : Designator=C26 Old Comment=C0805C224K5RACTU New Comment=C0805C106K8PACTU
Change Component Comment : Designator=U5 Old Comment=LD1117S50CTR New Comment=LD1086D2T50TR
Change Component Comment : Designator=U4 Old Comment=LF33ABDT-TR New Comment=LD1086D2M33TR
Change Managed Component Library Link : Designator=C23 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=69FA6185-5953-4A4A-90E2-A39648F2400F New ItemGUID=BB83B2C5-EEB1-46AB-824F-06572DF18BD6 Old RevisionGUID=DF1E8E9E-92EE-4671-B48E-76E4EC78D3ED New RevisionGUID=316FD8F7-2D16-4229-A14B-F33EB7DCDC66
Change Managed Component Library Link : Designator=C24 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=FDBDC743-5129-4ABA-A753-C4BF9BFD39B0 New ItemGUID=35BADCC5-59A3-4930-A8D1-4D4EB408CF03 Old RevisionGUID=78E80443-FCB8-4CDF-BB2C-66AC7160A187 New RevisionGUID=F8491758-2B96-4498-A8B7-84FA0D58A1C2
Change Managed Component Library Link : Designator=C25 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=FDBDC743-5129-4ABA-A753-C4BF9BFD39B0 New ItemGUID=35BADCC5-59A3-4930-A8D1-4D4EB408CF03 Old RevisionGUID=78E80443-FCB8-4CDF-BB2C-66AC7160A187 New RevisionGUID=F8491758-2B96-4498-A8B7-84FA0D58A1C2
Change Managed Component Library Link : Designator=C26 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=B9488122-88ED-4EC5-84F7-203174F09D93 New ItemGUID=BB83B2C5-EEB1-46AB-824F-06572DF18BD6 Old RevisionGUID=3073E26B-F5D9-41D4-961E-5BC2B966745A New RevisionGUID=316FD8F7-2D16-4229-A14B-F33EB7DCDC66
Change Managed Component Library Link : Designator=U4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=FF0C6317-1876-41F1-B7B1-DD5E33385A0A New ItemGUID=F73C3F77-ED73-4D3A-975D-4E9EDBA8D73A Old RevisionGUID=1FED3148-DBAE-4F37-AC6D-B52496AB636E New RevisionGUID=70F5FE0F-F4FD-495E-9A5D-8A66DE9E5B9F
Change Managed Component Library Link : Designator=U5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2257201C-B7DA-4935-9A6B-3BA42698371B New ItemGUID=D7B34084-8E67-403C-8572-AA0D0301F833 Old RevisionGUID=107852FB-C660-4135-88B5-07C89B1BB599 New RevisionGUID=A66588F4-2FAC-45D6-A1C8-68FF5852B697
Change component parameters: Designator = "C23" ("C23"); Footprint = "CAPC2013X88X50LL20T25"; UniqueID = "\PMUCSUNO" ("\PMUCSUNO")
Change component parameters (AddParameter): Name = "3DS Part Number"; Value = "220-00001"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CAP CER 10UF 10V X5R 0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC200125X125"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0805C106K8PACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "CAP CER 10UF 10V X5R 0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0805c106k8pactu-kemet-98697"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "C0805C-DG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristic"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "15%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C24" ("C24"); Footprint = "FP-0805-L_2_01_0_2-W_1_25-IPC_C"; UniqueID = "\JMYBMPOS" ("\JMYBMPOS")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Cylindrical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Aluminium"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "1.52R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "5.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.228inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = "1.52R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "3uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "5.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Life (Hours)"; Value = "2000Hour"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Aluminium"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
