Removed Pin From Net: NetName=Gen_current_signal_input Pin=R3-1
Removed Pin From Net: NetName=Gen_current_signal Pin=R3-2
Removed Pin From Net: NetName=5V Pin=U2-4
Removed Pin From Net: NetName=GND Pin=VR1-1
Removed Pin From Net: NetName=Gen_voltage_signal_input Pin=VR1-3
Removed Pin From Net: NetName=Motor_ut_pos Pin=VR2-1
Removed Pin From Net: NetName=GND Pin=VR3-3
Change Component Footprint: Designator=P8 Old Footprint=61300211121 New Footprint=61300211121
Change Component Footprint: Designator=R3 Old Footprint=RESC3116X65X50NL20T20 New Footprint=RESC2013X70X40NL20T20
Change Component Footprint: Designator=R4 Old Footprint=RESC3216X70X50LL05T20 New Footprint=RESC2013X60X40LL20T25_A
Change Component Footprint: Designator=R5 Old Footprint=RESC3216X70X50LL05T20 New Footprint=RESC2013X60X40LL20T25_A
Change Component Comment : Designator=R3 Old Comment=CRCW120610K0FKEAHP New Comment=ERJ-P06J104V
Change Component Comment : Designator=R4 Old Comment=ERJ-8ENF1002V New Comment=ERA-6AEB103V
Change Component Comment : Designator=R5 Old Comment=ERJ-8ENF1002V New Comment=ERA-6AEB103V
Change Managed Component Library Link : Designator=R3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C391831F-7703-4AF7-A19C-49CED6817183 New ItemGUID=51542EC6-C918-4578-BE46-07A9A0155162 Old RevisionGUID=EFC9E6CC-BEA9-4D29-B35D-22F5C8DB884C New RevisionGUID=F05CE2F2-40AD-42C4-8B29-8F89260615CC
Change Managed Component Library Link : Designator=R4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=DF515665-415F-42AA-B539-DAC1EF3CEB00 New ItemGUID=88C0399B-4929-48B0-91FC-CD3C5B951474 Old RevisionGUID=AF66E339-2024-46EC-A772-A8FDFA3B7411 New RevisionGUID=937A3D84-C7F8-4C89-96AA-A90A7723A6F7
Change Managed Component Library Link : Designator=R5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=DF515665-415F-42AA-B539-DAC1EF3CEB00 New ItemGUID=88C0399B-4929-48B0-91FC-CD3C5B951474 Old RevisionGUID=AF66E339-2024-46EC-A772-A8FDFA3B7411 New RevisionGUID=937A3D84-C7F8-4C89-96AA-A90A7723A6F7
Change component parameters: Designator = "R3" ("R3"); Footprint = "RESC3116X65X50NL20T20"; UniqueID = "\QVRYRQMU" ("\QVRYRQMU")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "ERJ-P06J104V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "RESC3216X70X50LL05T20"; UniqueID = "\VNEPSMAX" ("\VNEPSMAX")
Change component parameters (AddParameter): Name = "Brand"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - in"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - mm"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "5000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55Cto+155C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805(2012metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "125mW(1/8W)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "ThinFilmResistorsSMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "ThinFilmResistors-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "10kOhms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "ERA-6A"; VariantName = "[No Variations]"
